threshold,tp,fp,fn,tn,recall,precision,pred_pos_rate
0.5175879396984925,0,0,330,15133,0.0,0.0,0.0
0.5226130653266332,0,0,330,15133,0.0,0.0,0.0
0.5276381909547738,0,0,330,15133,0.0,0.0,0.0
0.5326633165829145,0,0,330,15133,0.0,0.0,0.0
0.5376884422110553,0,0,330,15133,0.0,0.0,0.0
0.542713567839196,0,0,330,15133,0.0,0.0,0.0
0.5477386934673367,0,0,330,15133,0.0,0.0,0.0
0.5527638190954774,0,0,330,15133,0.0,0.0,0.0
0.5577889447236181,0,0,330,15133,0.0,0.0,0.0
0.5628140703517588,0,0,330,15133,0.0,0.0,0.0
0.5678391959798995,0,0,330,15133,0.0,0.0,0.0
0.5728643216080402,0,0,330,15133,0.0,0.0,0.0
0.577889447236181,0,0,330,15133,0.0,0.0,0.0
0.5829145728643216,0,0,330,15133,0.0,0.0,0.0
0.5879396984924623,0,0,330,15133,0.0,0.0,0.0
0.592964824120603,0,0,330,15133,0.0,0.0,0.0
0.5979899497487438,0,0,330,15133,0.0,0.0,0.0
0.6030150753768845,0,0,330,15133,0.0,0.0,0.0
0.6080402010050251,0,0,330,15133,0.0,0.0,0.0
0.6130653266331658,0,0,330,15133,0.0,0.0,0.0
0.6180904522613065,0,0,330,15133,0.0,0.0,0.0
0.6231155778894473,0,0,330,15133,0.0,0.0,0.0
0.628140703517588,0,0,330,15133,0.0,0.0,0.0
0.6331658291457286,0,0,330,15133,0.0,0.0,0.0
0.6381909547738693,0,0,330,15133,0.0,0.0,0.0
0.6432160804020101,0,0,330,15133,0.0,0.0,0.0
0.6482412060301508,0,0,330,15133,0.0,0.0,0.0
0.6532663316582915,0,0,330,15133,0.0,0.0,0.0
0.6582914572864321,0,0,330,15133,0.0,0.0,0.0
0.6633165829145728,0,0,330,15133,0.0,0.0,0.0
0.6683417085427136,0,0,330,15133,0.0,0.0,0.0
0.6733668341708543,0,0,330,15133,0.0,0.0,0.0
0.678391959798995,0,0,330,15133,0.0,0.0,0.0
0.6834170854271356,0,0,330,15133,0.0,0.0,0.0
0.6884422110552764,0,0,330,15133,0.0,0.0,0.0
0.6934673366834171,0,0,330,15133,0.0,0.0,0.0
0.6984924623115578,0,0,330,15133,0.0,0.0,0.0
0.7035175879396985,0,0,330,15133,0.0,0.0,0.0
0.7085427135678392,0,0,330,15133,0.0,0.0,0.0
